junction,hour,day_of_week,weather,vehicles,congestion_score,high_congestion
Sector 4,14,Sat,Foggy,95,1.4,0
Udiapole,11,Fri,Foggy,121,1.8,0
Fatehsagar,15,Sun,Rainy,285,4.1,0
Sector 4,23,Sun,Clear,232,3.4,0
Delhi Gate,18,Mon,Clear,458,6.7,0
Hathi Pol,7,Sun,Foggy,263,3.8,0
Fatehsagar,20,Thu,Foggy,134,2.0,0
Fatehsagar,16,Tue,Foggy,75,1.1,0
Sector 4,22,Tue,Cloudy,281,4.1,0
Surajpole,4,Tue,Foggy,134,2.0,0
Delhi Gate,21,Thu,Cloudy,202,2.9,0
Sector 4,15,Sat,Clear,282,4.1,0
Delhi Gate,5,Mon,Rainy,114,1.7,0
Delhi Gate,7,Sun,Rainy,183,2.7,0
Hathi Pol,17,Thu,Rainy,469,6.8,0
Fatehsagar,11,Tue,Rainy,164,2.4,0
Udiapole,14,Fri,Cloudy,113,1.6,0
Hathi Pol,8,Wed,Cloudy,487,7.1,1
Hathi Pol,12,Sun,Foggy,220,3.2,0
Delhi Gate,14,Thu,Cloudy,156,2.3,0
Bapu Bazaar,9,Thu,Foggy,446,6.5,0
Fatehsagar,15,Mon,Foggy,145,2.1,0
Surajpole,6,Mon,Rainy,207,3.0,0
Hathi Pol,16,Thu,Cloudy,126,1.8,0
Udiapole,22,Tue,Cloudy,284,4.1,0
Bapu Bazaar,20,Wed,Foggy,195,2.8,0
Bapu Bazaar,21,Sun,Foggy,136,2.0,0
Surajpole,6,Mon,Clear,256,3.7,0
Hathi Pol,13,Sun,Clear,274,4.0,0
Udiapole,14,Tue,Foggy,198,2.9,0
Fatehsagar,20,Sun,Clear,106,1.5,0
Chetak Circle,6,Fri,Clear,152,2.2,0
Udiapole,8,Mon,Foggy,406,5.9,0
Surajpole,18,Tue,Foggy,329,4.8,0
Bapu Bazaar,15,Tue,Cloudy,94,1.4,0
Fatehsagar,7,Wed,Foggy,221,3.2,0
Udiapole,17,Wed,Foggy,526,7.7,1
Chetak Circle,22,Fri,Rainy,137,2.0,0
Chetak Circle,17,Tue,Cloudy,393,5.7,0
Delhi Gate,19,Sat,Cloudy,373,5.4,0
Delhi Gate,6,Tue,Cloudy,217,3.2,0
Sector 4,2,Wed,Rainy,228,3.3,0
